Step,Epoch,Train Loss,Val Loss,Val MSE,Val PSNR
1,0,0.0,0.0018669723067432642,0.0,0.0
2,0,0.0,0.0047342898324131966,0.0,0.0
3,0,0.0,0.028007570654153824,0.0,0.0
4,0,0.0,0.14463789761066437,0.0,0.0
5,0,0.14339765906333923,0.14463789761066437,0.0,0.0
5,1,0.14339765906333923,0.14463789761066437,0.967578103436778,0.14313968404598923
6,1,0.015557881444692612,0.14463789761066437,0.967578103436778,0.14313968404598923
7,1,0.002236628672108054,0.14463789761066437,0.967578103436778,0.14313968404598923
8,1,0.023694107308983803,0.14463789761066437,0.967578103436778,0.14313968404598923
9,1,0.003561844117939472,0.14463789761066437,0.967578103436778,0.14313968404598923
10,1,0.010816765949130058,0.14463789761066437,0.967578103436778,0.14313968404598923
11,1,0.016190487891435623,0.14463789761066437,0.967578103436778,0.14313968404598923
12,1,0.05139017477631569,0.14463789761066437,0.967578103436778,0.14313968404598923
13,1,0.013845006935298443,0.14463789761066437,0.967578103436778,0.14313968404598923
14,1,0.0021535437554121017,0.14463789761066437,0.967578103436778,0.14313968404598923
15,1,0.02219085954129696,0.14463789761066437,0.967578103436778,0.14313968404598923
16,1,0.005473725032061338,0.14463789761066437,0.967578103436778,0.14313968404598923
17,1,0.008379182778298855,0.14463789761066437,0.967578103436778,0.14313968404598923
18,1,0.015017089433968067,0.14463789761066437,0.967578103436778,0.14313968404598923
19,1,0.007359216921031475,0.14463789761066437,0.967578103436778,0.14313968404598923
20,1,0.002380106132477522,0.14463789761066437,0.967578103436778,0.14313968404598923
21,1,0.016455844044685364,0.14463789761066437,0.967578103436778,0.14313968404598923
22,1,0.0176117941737175,0.14463789761066437,0.967578103436778,0.14313968404598923
23,1,0.0016537887277081609,0.14463789761066437,0.967578103436778,0.14313968404598923
24,1,0.003603867720812559,0.14463789761066437,0.967578103436778,0.14313968404598923
25,1,0.002100504469126463,0.14463789761066437,0.967578103436778,0.14313968404598923
26,1,0.003555640112608671,0.14463789761066437,0.967578103436778,0.14313968404598923
27,1,0.0056489151902496815,0.14463789761066437,0.967578103436778,0.14313968404598923
28,1,0.1383807510137558,0.14463789761066437,0.967578103436778,0.14313968404598923
29,1,0.005102861672639847,0.14463789761066437,0.967578103436778,0.14313968404598923
30,1,0.07890968024730682,0.14463789761066437,0.967578103436778,0.14313968404598923
31,1,0.013179801404476166,0.14463789761066437,0.967578103436778,0.14313968404598923
32,1,0.00727528752759099,0.14463789761066437,0.967578103436778,0.14313968404598923
33,1,0.005267294589430094,0.14463789761066437,0.967578103436778,0.14313968404598923
34,1,0.038032416254282,0.14463789761066437,0.967578103436778,0.14313968404598923
35,1,0.005037384107708931,0.14463789761066437,0.967578103436778,0.14313968404598923
36,1,0.050123631954193115,0.14463789761066437,0.967578103436778,0.14313968404598923
37,1,0.0032853768207132816,0.14463789761066437,0.967578103436778,0.14313968404598923
38,1,0.041487760841846466,0.14463789761066437,0.967578103436778,0.14313968404598923
39,1,0.0036725495010614395,0.14463789761066437,0.967578103436778,0.14313968404598923
40,1,0.09842753410339355,0.14463789761066437,0.967578103436778,0.14313968404598923
41,1,0.05081681162118912,0.14463789761066437,0.967578103436778,0.14313968404598923
42,1,0.05289068818092346,0.14463789761066437,0.967578103436778,0.14313968404598923
43,1,0.005768118426203728,0.14463789761066437,0.967578103436778,0.14313968404598923
44,1,0.004265739582479,0.14463789761066437,0.967578103436778,0.14313968404598923
45,1,0.003871066030114889,0.14463789761066437,0.967578103436778,0.14313968404598923
46,1,0.012533621862530708,0.14463789761066437,0.967578103436778,0.14313968404598923
47,1,0.007131890393793583,0.14463789761066437,0.967578103436778,0.14313968404598923
48,1,0.022482555359601974,0.14463789761066437,0.967578103436778,0.14313968404598923
49,1,0.007090066093951464,0.14463789761066437,0.967578103436778,0.14313968404598923
50,1,0.00966380164027214,0.14463789761066437,0.967578103436778,0.14313968404598923
51,1,0.002562446054071188,0.14463789761066437,0.967578103436778,0.14313968404598923
52,1,0.002602647989988327,0.14463789761066437,0.967578103436778,0.14313968404598923
53,1,0.020076435059309006,0.14463789761066437,0.967578103436778,0.14313968404598923
54,1,0.002735474146902561,0.14463789761066437,0.967578103436778,0.14313968404598923
55,1,0.0012844194425269961,0.14463789761066437,0.967578103436778,0.14313968404598923
56,1,0.0013365093618631363,0.14463789761066437,0.967578103436778,0.14313968404598923
57,1,0.021008724346756935,0.14463789761066437,0.967578103436778,0.14313968404598923
58,1,0.002347067929804325,0.14463789761066437,0.967578103436778,0.14313968404598923
59,1,0.0011718797031790018,0.14463789761066437,0.967578103436778,0.14313968404598923
60,1,0.0020701095927506685,0.14463789761066437,0.967578103436778,0.14313968404598923
61,1,0.007811529561877251,0.14463789761066437,0.967578103436778,0.14313968404598923
62,1,0.0019714892841875553,0.14463789761066437,0.967578103436778,0.14313968404598923
63,1,0.02625124529004097,0.14463789761066437,0.967578103436778,0.14313968404598923
64,1,0.0017338503384962678,0.14463789761066437,0.967578103436778,0.14313968404598923
65,1,0.014488684944808483,0.14463789761066437,0.967578103436778,0.14313968404598923
66,1,0.0022047744132578373,0.14463789761066437,0.967578103436778,0.14313968404598923
67,1,0.07080025225877762,0.14463789761066437,0.967578103436778,0.14313968404598923
68,1,0.02516520954668522,0.14463789761066437,0.967578103436778,0.14313968404598923
69,1,0.050133317708969116,0.14463789761066437,0.967578103436778,0.14313968404598923
70,1,0.004273219965398312,0.14463789761066437,0.967578103436778,0.14313968404598923
71,1,0.014925757423043251,0.14463789761066437,0.967578103436778,0.14313968404598923
72,1,0.0019285018788650632,0.14463789761066437,0.967578103436778,0.14313968404598923
73,1,0.1673315167427063,0.14463789761066437,0.967578103436778,0.14313968404598923
74,1,0.015870697796344757,0.14463789761066437,0.967578103436778,0.14313968404598923
75,1,0.019240641966462135,0.14463789761066437,0.967578103436778,0.14313968404598923
76,1,0.0010902222711592913,0.14463789761066437,0.967578103436778,0.14313968404598923
77,1,0.06422346830368042,0.14463789761066437,0.967578103436778,0.14313968404598923
78,1,0.0023411749862134457,0.14463789761066437,0.967578103436778,0.14313968404598923
79,1,0.003717821789905429,0.14463789761066437,0.967578103436778,0.14313968404598923
80,1,0.08884826302528381,0.14463789761066437,0.967578103436778,0.14313968404598923
81,1,0.037922583520412445,0.14463789761066437,0.967578103436778,0.14313968404598923
82,1,0.02175844833254814,0.14463789761066437,0.967578103436778,0.14313968404598923
83,1,0.0065293340012431145,0.14463789761066437,0.967578103436778,0.14313968404598923
84,1,0.002954185241833329,0.14463789761066437,0.967578103436778,0.14313968404598923
85,1,0.001925951917655766,0.14463789761066437,0.967578103436778,0.14313968404598923
86,1,0.0029663098976016045,0.14463789761066437,0.967578103436778,0.14313968404598923
87,1,0.003232501447200775,0.14463789761066437,0.967578103436778,0.14313968404598923
88,1,0.0101577527821064,0.14463789761066437,0.967578103436778,0.14313968404598923
89,1,0.0007713587838225067,0.14463789761066437,0.967578103436778,0.14313968404598923
90,1,0.2555224597454071,0.14463789761066437,0.967578103436778,0.14313968404598923
91,1,0.0010099335340783,0.14463789761066437,0.967578103436778,0.14313968404598923
