Step,Epoch,Train Loss,Val Loss,Val MSE,Val PSNR
1,0,0.0,0.11660395562648773,0.0,0.0
2,0,0.0,0.002436430659145117,0.0,0.0
3,0,0.0,0.04123552516102791,0.0,0.0
4,0,0.0,0.0015957602299749851,0.0,0.0
5,0,0.0017029052833095193,0.0015957602299749851,0.0,0.0
5,1,0.0017029052833095193,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
6,1,0.020708678290247917,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
7,1,0.0020822505466639996,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
8,1,0.0026438808999955654,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
9,1,0.00137888896279037,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
10,1,0.0018634439911693335,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
11,1,0.00574469892308116,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
12,1,0.036715783178806305,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
13,1,0.0017180165741592646,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
14,1,0.0029208369087427855,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
15,1,0.0027648531831800938,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
16,1,0.0037630368024110794,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
17,1,0.003626671154052019,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
18,1,0.0011930090840905905,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
19,1,0.002995006274431944,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
20,1,0.01975082978606224,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
21,1,0.014432157389819622,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
22,1,0.0020851786248385906,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
23,1,0.009879553690552711,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
24,1,0.021196214482188225,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
25,1,0.074086993932724,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
26,1,0.024401023983955383,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
27,1,0.0013220360269770026,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
28,1,0.0025447881780564785,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
29,1,0.0012511351378634572,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
30,1,0.02623109146952629,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
31,1,0.005420297384262085,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
32,1,0.015010252594947815,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
33,1,0.01236460730433464,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
34,1,0.2094421684741974,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
35,1,0.009998387657105923,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
36,1,0.02903059497475624,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
37,1,0.004405231215059757,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
38,1,0.11327213048934937,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
39,1,0.0033025038428604603,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
40,1,0.03307662159204483,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
41,1,0.08439454436302185,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
42,1,0.031213898211717606,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
43,1,0.011722730472683907,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
44,1,0.0036844017449766397,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
45,1,0.005135213024914265,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
46,1,0.008044306188821793,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
47,1,0.03292982652783394,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
48,1,0.04660770297050476,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
49,1,0.22861149907112122,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
50,1,0.03444449603557587,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
51,1,0.0058388859033584595,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
52,1,0.008203184232115746,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
53,1,0.0035997643135488033,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
54,1,0.004086021333932877,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
55,1,0.006449457257986069,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
56,1,0.11935018002986908,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
57,1,0.13422636687755585,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
58,1,0.01186760701239109,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
59,1,0.02616540715098381,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
60,1,0.009199351072311401,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
61,1,0.0014667744981124997,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
62,1,0.042292866855859756,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
63,1,0.003658024128526449,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
64,1,0.011760991998016834,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
65,1,0.12370245158672333,0.0015957602299749851,0.09533760696649551,tensor(10.2074)
