Step,Epoch,Train Loss,Val Loss,Val MSE,Val PSNR
1,0,0.0,0.001590148895047605,0.0,0.0
2,0,0.0,0.0026735602878034115,0.0,0.0
3,0,0.0,0.10910354554653168,0.0,0.0
4,0,0.0,0.12647899985313416,0.0,0.0
5,0,0.01513117179274559,0.12647899985313416,0.0,0.0
5,1,0.01513117179274559,0.12647899985313416,0.3737708032131195,tensor(4.2739)
6,1,0.0563148632645607,0.12647899985313416,0.3737708032131195,tensor(4.2739)
7,1,0.009455612860620022,0.12647899985313416,0.3737708032131195,tensor(4.2739)
8,1,0.035410232841968536,0.12647899985313416,0.3737708032131195,tensor(4.2739)
9,1,0.004911675117909908,0.12647899985313416,0.3737708032131195,tensor(4.2739)
10,1,0.037443697452545166,0.12647899985313416,0.3737708032131195,tensor(4.2739)
11,1,0.13437943160533905,0.12647899985313416,0.3737708032131195,tensor(4.2739)
12,1,0.008687729015946388,0.12647899985313416,0.3737708032131195,tensor(4.2739)
13,1,0.027443312108516693,0.12647899985313416,0.3737708032131195,tensor(4.2739)
14,1,0.006802940741181374,0.12647899985313416,0.3737708032131195,tensor(4.2739)
15,1,0.6100229024887085,0.12647899985313416,0.3737708032131195,tensor(4.2739)
16,1,0.05561190843582153,0.12647899985313416,0.3737708032131195,tensor(4.2739)
17,1,0.3034607768058777,0.12647899985313416,0.3737708032131195,tensor(4.2739)
18,1,0.034293364733457565,0.12647899985313416,0.3737708032131195,tensor(4.2739)
19,1,0.21139004826545715,0.12647899985313416,0.3737708032131195,tensor(4.2739)
20,1,0.6702142953872681,0.12647899985313416,0.3737708032131195,tensor(4.2739)
21,1,0.08455856144428253,0.12647899985313416,0.3737708032131195,tensor(4.2739)
22,1,0.24405580759048462,0.12647899985313416,0.3737708032131195,tensor(4.2739)
23,1,0.5679562091827393,0.12647899985313416,0.3737708032131195,tensor(4.2739)
24,1,0.035915806889534,0.12647899985313416,0.3737708032131195,tensor(4.2739)
25,1,0.06693080812692642,0.12647899985313416,0.3737708032131195,tensor(4.2739)
26,1,0.32841920852661133,0.12647899985313416,0.3737708032131195,tensor(4.2739)
27,1,0.03562328219413757,0.12647899985313416,0.3737708032131195,tensor(4.2739)
28,1,0.0516679510474205,0.12647899985313416,0.3737708032131195,tensor(4.2739)
29,1,0.12072016298770905,0.12647899985313416,0.3737708032131195,tensor(4.2739)
30,1,0.046374306082725525,0.12647899985313416,0.3737708032131195,tensor(4.2739)
31,1,0.07671602070331573,0.12647899985313416,0.3737708032131195,tensor(4.2739)
32,1,0.4924205243587494,0.12647899985313416,0.3737708032131195,tensor(4.2739)
33,1,0.31672313809394836,0.12647899985313416,0.3737708032131195,tensor(4.2739)
34,1,0.3321298360824585,0.12647899985313416,0.3737708032131195,tensor(4.2739)
35,1,0.35686248540878296,0.12647899985313416,0.3737708032131195,tensor(4.2739)
36,1,0.4230099022388458,0.12647899985313416,0.3737708032131195,tensor(4.2739)
37,1,0.10146355628967285,0.12647899985313416,0.3737708032131195,tensor(4.2739)
38,1,0.43368029594421387,0.12647899985313416,0.3737708032131195,tensor(4.2739)
39,1,0.04444658011198044,0.12647899985313416,0.3737708032131195,tensor(4.2739)
40,1,0.362117737531662,0.12647899985313416,0.3737708032131195,tensor(4.2739)
41,1,0.09077107906341553,0.12647899985313416,0.3737708032131195,tensor(4.2739)
42,1,0.07146412879228592,0.12647899985313416,0.3737708032131195,tensor(4.2739)
43,1,0.33716315031051636,0.12647899985313416,0.3737708032131195,tensor(4.2739)
44,1,0.4133254885673523,0.12647899985313416,0.3737708032131195,tensor(4.2739)
45,1,0.9010878801345825,0.12647899985313416,0.3737708032131195,tensor(4.2739)
46,1,0.7847516536712646,0.12647899985313416,0.3737708032131195,tensor(4.2739)
47,1,0.11483925580978394,0.12647899985313416,0.3737708032131195,tensor(4.2739)
48,1,0.9284777045249939,0.12647899985313416,0.3737708032131195,tensor(4.2739)
49,1,0.8541703820228577,0.12647899985313416,0.3737708032131195,tensor(4.2739)
50,1,0.5339656472206116,0.12647899985313416,0.3737708032131195,tensor(4.2739)
51,1,0.333981990814209,0.12647899985313416,0.3737708032131195,tensor(4.2739)
