,Dataset,Downsampled Resolution,Target Resolution,Total Sparsity,Script Input,average_surface_current,coverage_percentage,total_len_detected_curves,total_area_circular_shapes,total_area_extended_shapes,total_defect_area,num_circular_shapes,num_extended_shapes,num_curved_lines
0,mos2-sef,64x64,512x512,64,Downsampled Input,0.003583396986832208,0.4740432919357614,0.40534846531522123,0.7771216936084541,0.9728013776147362,12.254565338559022,0.9946625485289158,0.9683948863636364,0.8669887073423355
0,mos2-sef,64x64,512x512,64,Model Prediction,0.11780080295934005,0.2194153298911386,0.12714270845337322,0.3181895991370593,181039174.827569,0.29465662790800984,0.44214790779821095,19531250000.381958,0.6516497441008487
0,sapphire,64x64,512x512,64,Downsampled Input,0.0015011708891613663,0.2355104665384466,0.34217727906431594,2.20430299959627,0.7725484454855196,148.81267960572362,0.943818762067531,0.7646484375,0.7156440467084999
0,sapphire,64x64,512x512,64,Model Prediction,0.7184741822501237,0.3689909188144803,0.11071989426931092,0.5281339182533494,294791327.9498199,0.3386338777254554,1.066097699387162,78125000000.35803,0.4253015300671551
0,silicon,128x128,512x512,16,Downsampled Input,0.0008113828898582876,0.2321659920638062,0.23352878901502305,1.6416367940008354,0.7537453611529501,31.99377707636114,0.841599000278312,0.49084821428571423,0.35086655965562213
0,silicon,128x128,512x512,16,Model Prediction,0.012579913544792334,0.1596185305859375,0.5243965922542113,1.8324174858536626,7548928261.312545,1.6682915571016494,1.3898957172980708,363281250000.28375,2.2114425396651956
0,mos2-sef,128x128,512x512,16,Downsampled Input,0.0015483484405412718,0.4181934605772946,0.28552817067038316,0.571175321479988,0.8637697065384853,5.496304451679167,0.9639525524571493,0.8183221726190475,0.6582795134552946
0,mos2-sef,128x128,512x512,16,Model Prediction,0.08366322915676845,0.38901640433137874,0.3273224049545821,0.32275392985229945,3556370735.8027496,0.27214940071071564,0.4392182245774321,128906250000.49295,0.8681809943528699
0,sapphire,256x256,512x512,4,Downsampled Input,3.326443442480338e-08,0.2737839420801282,0.19604310375218517,0.5601018427979738,0.13865425570428386,3.179233472200521,0.7333566884281015,0.141796875,0.2778645833333332
0,sapphire,256x256,512x512,4,Model Prediction,0.0032484090304361556,0.2280363369734188,0.39677400140626823,1.1016481201411572,11922836303.808521,1.0558829664220668,0.8340645929388414,171875000000.09204,0.4999488467261906
0,silicon,256x256,512x512,4,Downsampled Input,3.005078724708635e-08,0.29342782175701426,0.205535070494181,0.6322092092939479,0.24071788775356084,3.697653317303001,0.7145194675505371,0.19791666666666669,0.31292275432900424
0,silicon,256x256,512x512,4,Model Prediction,0.5729141490386329,0.2035850734918176,0.6457076185016737,1.7176035771640719,34943580627.67961,1.7604311969428397,1.249537482178311,382812500000.13477,1.1990149824134195
